,task,method,metric,weights_type,ablation_type,plot_type,auc,n_points,test_kl_div,test_kl_div_max,test_kl_div_min,test_loss,test_loss_max,test_loss_min
1,ioi,SP,kl_div,trained,zero_ablation,roc_edges,0.6127115283500366,36,1.5979161936241915,3.685337793827057,0.4194532886147499,1.5979161936241915,3.685337793827057,0.4194532886147499
2,ioi,ACDC,kl_div,trained,zero_ablation,roc_edges,0.9353203206563463,20,7.8733194139268665,11.842216491699219,3.513946533203125,7.8733194139268665,11.842216491699219,3.513946533203125
3,tracr-reverse,HISP,l2,trained,zero_ablation,roc_edges,0.5772893772893772,19,0.07968873530626297,0.15268589556217194,0.0,0.2687903362161973,0.4444436728954315,0.0
4,tracr-reverse,SP,l2,trained,zero_ablation,roc_edges,0.7721611721611722,13,0.05701901230098159,0.08291746662761171,0.040658661314266056,0.16668194062432273,0.24322498431420173,0.1196361383912354
5,tracr-reverse,ACDC,l2,trained,zero_ablation,roc_edges,1.0,44,6.139742936284165e-09,6.139742936284165e-09,6.139742936284165e-09,1.1842378477584098e-13,1.1842378477584098e-13,1.1842378477584098e-13
6,tracr-proportion,HISP,l2,trained,zero_ablation,roc_edges,0.6785714285714286,11,0.006953031342062686,0.012515456415712833,0.0,0.079629628194703,0.1433333307504654,0.0
7,tracr-proportion,SP,l2,trained,zero_ablation,roc_edges,0.7107142857142857,13,0.00047583433722189246,0.003191274501333452,4.4207732178488944e-07,0.005507163526603127,0.03703372347210129,4.332094071669089e-06
8,tracr-proportion,ACDC,l2,trained,zero_ablation,roc_edges,1.0,23,0.08731074134508769,0.09108591079711914,0.08642131090164185,0.0071075840720108575,0.11851852387189865,0.0
9,docstring,HISP,kl_div,trained,zero_ablation,roc_edges,0.14742603550295857,103,7.9628005264648465,11.055105209350586,8.276665575124298e-09,7.9628005264648465,11.055105209350586,8.276665575124298e-09
10,docstring,SP,kl_div,trained,zero_ablation,roc_edges,0.5140532544378699,34,2.6206120419548826,5.99997296333313,1.19574166983366,2.6206120419548826,5.99997296333313,1.19574166983366
11,docstring,ACDC,kl_div,trained,zero_ablation,roc_edges,0.9491124260355029,19,5.183578042423024,6.844270706176758,3.1236326694488525,5.183578042423024,6.844270706176758,3.1236326694488525
12,greaterthan,HISP,kl_div,trained,zero_ablation,roc_edges,0.24531743865495648,447,12.400046053626966,18.927595138549805,1.3888289629448991e-08,12.400046053626966,18.927595138549805,1.3888289629448991e-08
13,greaterthan,SP,kl_div,trained,zero_ablation,roc_edges,0.16138787423128811,5,0.30665606322387856,0.3890552751719952,0.2257472138851881,0.30665606322387856,0.3890552751719952,0.2257472138851881
14,greaterthan,ACDC,kl_div,trained,zero_ablation,roc_edges,0.9779690928780398,27,10.393205184936523,18.613109588623047,5.32358980178833,10.393205184936523,18.613109588623047,5.32358980178833
0,induction,HISP,kl_div,trained,zero_ablation,induction_kl_edges,,51,7.208661969956907,12.809532165527344,6.358249926563531e-09,7.208661969956907,12.809532165527344,6.358249926563531e-09
1,induction,SP,kl_div,trained,zero_ablation,induction_kl_edges,,34,1.5097495858824916,5.4379747152328495,0.15991121530532837,1.5097495858824916,5.4379747152328495,0.15991121530532837
2,induction,ACDC,kl_div,trained,zero_ablation,induction_kl_edges,,23,0.6977455455122427,3.8229706287384033,0.0031131578143686056,0.6977455455122427,3.8229706287384033,0.0031131578143686056
0,ioi,HISP,kl_div,reset,zero_ablation,roc_nodes,0.47001161239314126,447,8.664585092094507,15.631617546081543,7.446849346160889,8.664585092094507,15.631617546081543,7.446849346160889
